corpus,regime,feasible,n_groups,rho_max,size_train,size_val,size_test,actives_train,actives_test,n_pos_test,n_neg_test
dekois,ligand,true,47592,0.0003,35000,7500,7500,1177,252,252,7248
dekois,scaffold,true,37723,0.00162,35000,7500,7500,1177,252,252,7248
dekois,protein,true,81,0.0136,21511,14188,14301,760,450,450,13851
dekois,pocket,false,0,0.0,0,0,0,0,0,0,0
dekois,assay,false,0,0.0,0,0,0,0,0,0,0
dekois,dual,true,47592,0.0003,35000,7500,7500,1177,252,252,7248
dekois,strict,true,50000,0.00002,35000,7500,7500,1177,252,252,7248
dude,ligand,true,49642,0.00006,35000,7500,7500,549,118,118,7382
dude,scaffold,true,35258,0.00266,35000,7500,7500,549,118,118,7382
dude,protein,true,102,0.03758,19097,15761,15142,367,218,218,14924
dude,pocket,false,0,0.0,0,0,0,0,0,0,0
dude,assay,false,0,0.0,0,0,0,0,0,0,0
dude,dual,true,49642,0.00006,35000,7500,7500,549,118,118,7382
dude,strict,true,50000,0.00002,35000,7500,7500,549,118,118,7382
litpcba,ligand,true,0,0.0,35000,7500,7500,100,21,21,7479
litpcba,scaffold,true,0,0.0,35000,7500,7500,100,21,21,7479
litpcba,protein,true,0,0.0,19808,16384,13808,110,14,14,13794
litpcba,pocket,false,0,0.0,0,0,0,0,0,0,0
litpcba,assay,false,0,0.0,0,0,0,0,0,0,0
litpcba,dual,true,0,0.0,35000,7500,7500,100,21,21,7479
litpcba,strict,true,0,0.0,35000,7500,7500,100,21,0,0
pdbbind,ligand,false,0,0.0,0,0,0,0,0,0,0
pdbbind,scaffold,false,0,0.0,0,0,0,0,0,0,0
pdbbind,protein,false,0,0.0,0,0,0,0,0,0,0
pdbbind,pocket,false,0,0.0,0,0,0,0,0,0,0
pdbbind,assay,false,0,0.0,0,0,0,0,0,0,0
pdbbind,dual,false,0,0.0,0,0,0,0,0,0,0
pdbbind,strict,false,0,0.0,0,0,0,0,0,0,0
