corpus,regime,feasible,n_groups,rho_max,size_train,size_val,size_test,actives_train,actives_test,baseline_auroc,baseline_auprc,n_pos_test,n_neg_test,notes
dekois,ligand,true,47592,0.0003,35000,7500,7500,1177,252,0.9381808117838747,0.6370683198431825,252,7248,""
dekois,scaffold,true,37723,0.00162,35000,7500,7500,1177,252,0.9235325453765022,0.6416183604755026,252,7248,""
dekois,protein,true,81,0.0136,21520,14292,14188,740,475,0.8708251486296138,0.30935360570016335,475,13713,""
dekois,pocket,false,0,0.0,0,0,0,0,0,NaN,NaN,0,0,"infeasible: no edges of type ['example_has_pocket', 'pocket_in_cluster', 'pocket_similar'] in graph"
dekois,assay,false,0,0.0,0,0,0,0,0,NaN,NaN,0,0,"infeasible: no edges of type ['example_from_assay', 'example_from_publication'] in graph"
dekois,dual,true,50000,0.00002,35000,7500,7500,1177,252,0.9425208158134482,0.7087917104383271,252,7248,""
dekois,strict,true,50000,0.00002,35000,7500,7500,1177,252,0.9425208158134482,0.7087917104383271,252,7248,""
dude,ligand,true,49642,0.00006,35000,7500,7500,549,118,0.9516121440609087,0.6898770614570285,118,7382,""
dude,scaffold,true,35258,0.00266,35000,7500,7500,549,118,0.9731780005418587,0.6599124539972332,118,7382,""
dude,protein,true,102,0.03758,19083,15726,15191,366,219,0.8787520571123937,0.3184291774958253,219,14972,""
dude,pocket,false,0,0.0,0,0,0,0,0,NaN,NaN,0,0,"infeasible: no edges of type ['example_has_pocket', 'pocket_in_cluster', 'pocket_similar'] in graph"
dude,assay,false,0,0.0,0,0,0,0,0,NaN,NaN,0,0,"infeasible: no edges of type ['example_from_assay', 'example_from_publication'] in graph"
dude,dual,true,50000,0.00002,35000,7500,7500,549,118,0.9520374800821053,0.6676342458294682,118,7382,""
dude,strict,true,50000,0.00002,35000,7500,7500,549,118,0.9520374800821053,0.6676342458294682,118,7382,""
litpcba,ligand,true,47036,0.00008,35000,7500,7500,100,21,0.5665641574185497,0.006332516871882552,21,7479,""
litpcba,scaffold,true,30390,0.00302,35000,7500,7500,100,21,0.6185318892900121,0.006461127143430088,21,7479,""
litpcba,protein,false,15,0.1365,19808,16384,13808,110,14,0.40473083535284493,0.0009387772377946244,14,13794,""
litpcba,pocket,false,0,0.0,0,0,0,0,0,NaN,NaN,0,0,"infeasible: no edges of type ['example_has_pocket', 'pocket_in_cluster', 'pocket_similar'] in graph"
litpcba,assay,false,0,0.0,0,0,0,0,0,NaN,NaN,0,0,"infeasible: no edges of type ['example_from_assay', 'example_from_publication'] in graph"
litpcba,dual,true,50000,0.00002,35000,7500,7500,100,21,0.5609006806359393,0.0032886243108393217,21,7479,""
litpcba,strict,true,50000,0.00002,35000,7500,7500,100,21,0.5609006806359393,0.0032886243108393217,21,7479,""
pdbbind,ligand,false,13301,0.016126490518464043,9924,4557,4556,7858,1748,0.7158571945471259,0.5930353499289786,1748,2808,""
pdbbind,scaffold,false,11360,0.02379576613962284,9801,4618,4618,7675,1839,0.6989900952553144,0.6086799410693905,1839,2779,""
pdbbind,protein,false,11862,0.009192624888375269,7342,5855,5840,6880,2234,0.5808805055336501,0.43424262278007447,2234,3606,""
pdbbind,pocket,false,19037,0.00005252928507643011,9989,4524,4524,8032,1659,0.7552816253194012,0.5995570662792731,1659,2865,""
pdbbind,assay,false,0,0.0,0,0,0,0,0,NaN,NaN,0,0,"infeasible: no edges of type ['example_from_assay', 'example_from_publication'] in graph"
pdbbind,dual,false,7415,0.1645217208593791,8186,5420,5431,6089,2632,0.6882008310610281,0.6341245535070998,2632,2799,""
pdbbind,strict,false,19037,0.00005252928507643011,9989,4524,4524,8032,1659,0.7552836240423224,0.5995602090940524,1659,2865,""
