corpus,regime,feasible,n_groups,rho_max,size_train,size_val,size_test,actives_train,actives_test,n_pos_test,n_neg_test
dekois,ligand,true,47592,0.0003,35000,7500,7500,1177,252,252,7248
dekois,scaffold,true,37723,0.00162,35000,7500,7500,1177,252,252,7248
dekois,protein,true,81,0.0136,21520,14292,14188,740,475,475,13713
dekois,pocket,false,0,0.0,0,0,0,0,0,0,0
dekois,assay,false,0,0.0,0,0,0,0,0,0,0
dekois,dual,true,50000,0.00002,35000,7500,7500,1177,252,252,7248
dekois,strict,true,50000,0.00002,35000,7500,7500,1177,252,252,7248
dude,ligand,true,49642,0.00006,35000,7500,7500,549,118,118,7382
dude,scaffold,true,35258,0.00266,35000,7500,7500,549,118,118,7382
dude,protein,true,102,0.03758,19083,15726,15191,366,219,219,14972
dude,pocket,false,0,0.0,0,0,0,0,0,0,0
dude,assay,false,0,0.0,0,0,0,0,0,0,0
dude,dual,true,50000,0.00002,35000,7500,7500,549,118,118,7382
dude,strict,true,50000,0.00002,35000,7500,7500,549,118,118,7382
litpcba,ligand,true,47036,0.00008,35000,7500,7500,100,21,21,7479
litpcba,scaffold,true,30390,0.00302,35000,7500,7500,100,21,21,7479
litpcba,protein,false,15,0.1365,19808,16384,13808,110,14,14,13794
litpcba,pocket,false,0,0.0,0,0,0,0,0,0,0
litpcba,assay,false,0,0.0,0,0,0,0,0,0,0
litpcba,dual,true,50000,0.00002,35000,7500,7500,100,21,21,7479
litpcba,strict,true,50000,0.00002,35000,7500,7500,100,21,21,7479
pdbbind,ligand,false,13301,0.016126490518464043,9924,4557,4556,7858,1748,1748,2808
pdbbind,scaffold,false,11360,0.02379576613962284,9801,4618,4618,7675,1839,1839,2779
pdbbind,protein,false,11862,0.009192624888375269,7342,5855,5840,6880,2234,2234,3606
pdbbind,pocket,false,19037,0.00005252928507643011,9989,4524,4524,8032,1659,1659,2865
pdbbind,assay,false,0,0.0,0,0,0,0,0,0,0
pdbbind,dual,false,7415,0.1645217208593791,8186,5420,5431,6089,2632,2632,2799
pdbbind,strict,false,19037,0.00005252928507643011,9989,4524,4524,8032,1659,1659,2865
