corpus,regime,feasible,n_groups,rho_max,size_train,size_val,size_test,actives_train,actives_test,baseline_auroc,baseline_auprc,n_pos_test,n_neg_test,notes
dekois,ligand,true,87954,0.00021950913576117406,66968,14350,14350,2267,486,0.886313236282381,0.5353677124871425,486,13864,""
dekois,scaffold,true,64318,0.0015365639503282184,66968,14350,14350,2267,486,0.8504948274715698,0.45314021070920274,486,13864,""
dekois,protein,true,81,0.012951039009909269,41407,27052,27209,1399,920,0.7569272029795897,0.2019290528608568,920,26289,""
dekois,pocket,false,0,0.0,0,0,0,0,0,NaN,NaN,0,0,"infeasible: no edges of type ['example_has_pocket', 'pocket_in_cluster', 'pocket_similar'] in graph"
dekois,assay,false,0,0.0,0,0,0,0,0,NaN,NaN,0,0,"infeasible: no edges of type ['example_from_assay', 'example_from_publication'] in graph"
dekois,dual,true,95668,0.000010452815988627336,60571,17549,17548,2079,580,0.8137353883171569,0.26574636473397145,580,16968,""
dekois,strict,true,95668,0.000010452815988627336,60571,17549,17548,2079,580,0.8137353883171569,0.26574636473397145,580,16968,""
dude,ligand,true,1200435,0.000014644157434455193,1003813,215103,215103,15963,3421,0.8793705259352371,0.39705935774769474,3421,211681,""
dude,scaffold,true,466609,0.003009723023195648,1003813,215103,215103,15963,3421,0.8762364265541451,0.36865170939692626,3421,211682,""
dude,protein,true,102,0.03632587852741142,546604,444179,443236,8855,6970,0.8088881095149584,0.2212150484647981,6970,436266,""
dude,pocket,false,0,0.0,0,0,0,0,0,NaN,NaN,0,0,"infeasible: no edges of type ['example_has_pocket', 'pocket_in_cluster', 'pocket_similar'] in graph"
dude,assay,false,0,0.0,0,0,0,0,0,NaN,NaN,0,0,"infeasible: no edges of type ['example_from_assay', 'example_from_publication'] in graph"
dude,dual,true,1434019,6.97340830212152e-7,735721,349150,349148,11848,5479,0.8292214444694733,0.25424174468675287,5479,343669,""
dude,strict,true,1434019,6.97340830212152e-7,735721,349150,349148,11848,5479,0.8292214444694734,0.25424174468675287,5479,343669,""
litpcba,ligand,true,382044,0.0000158372414240395,1856384,397797,397796,5569,1193,0.5176502626256755,0.003236138309401111,1193,396603,""
litpcba,scaffold,true,118316,0.003237961716862552,1856384,397797,397796,5569,1193,0.5255435473943522,0.003504491103004761,1193,396603,""
litpcba,protein,true,15,0.13529378271380182,1286326,703706,661945,6620,582,0.5560169144702848,0.0011537568795585518,582,661363,""
litpcba,pocket,false,0,0.0,0,0,0,0,0,NaN,NaN,0,0,"infeasible: no edges of type ['example_has_pocket', 'pocket_in_cluster', 'pocket_similar'] in graph"
litpcba,assay,false,0,0.0,0,0,0,0,0,NaN,NaN,0,0,"infeasible: no edges of type ['example_from_assay', 'example_from_publication'] in graph"
litpcba,dual,true,2651977,3.7707717676284524e-7,1397620,627179,627178,5573,1191,0.5325845404785629,0.0022558252348783493,1191,625987,""
litpcba,strict,true,2651977,3.7707717676284524e-7,1397620,627179,627178,5573,1191,0.5325848845196361,0.0022558895639406816,1191,625987,""
pdbbind,ligand,false,13301,0.016126490518464043,9917,4560,4560,7863,1743,0.7070235079930111,0.5887887999744789,1743,2816,""
pdbbind,scaffold,false,11360,0.02379576613962284,9809,4615,4613,7671,1839,0.7065742525658713,0.6208600437832824,1839,2774,""
pdbbind,protein,false,11862,0.009192624888375269,7337,5856,5844,6919,2216,0.5549398431374111,0.4093846410655985,2216,3628,""
pdbbind,pocket,false,19037,0.00005252928507643011,9948,4546,4543,8009,1670,0.7462067160942738,0.5917239024732606,1670,2872,""
pdbbind,assay,false,0,0.0,0,0,0,0,0,NaN,NaN,0,0,"infeasible: no edges of type ['example_from_assay', 'example_from_publication'] in graph"
pdbbind,dual,false,7415,0.1645217208593791,8192,5416,5429,6100,2627,0.6788316274171448,0.6243494514267454,2627,2802,""
pdbbind,strict,false,19037,0.00005252928507643011,9948,4546,4543,8009,1670,0.7462067160942738,0.5917267314920664,1670,2872,""
